Date,Price
17/11/2019,1100
18/11/2019,1000
19/11/2019,1100
20/11/2019,1100
21/11/2019,1000
22/11/2019,1000
23/11/2019,1000
24/11/2019,1000
25/11/2019,1000
26/11/2019,1100
27/11/2019,1000
28/11/2019,1000
29/11/2019,1000
30/11/2019,1000
01/12/2019,1000
02/12/2019,1000
03/12/2019,1100
04/12/2019,1100
05/12/2019,1100
06/12/2019,1000
07/12/2019,1000
08/12/2019,1000
09/12/2019,1100
10/12/2019,1000
11/12/2019,1000
12/12/2019,1000
13/12/2019,1000
14/12/2019,1000
15/12/2019,1000
16/12/2019,1100
17/12/2019,1100
18/12/2019,1100
19/12/2019,1100
20/12/2019,1200
21/12/2019,1200
22/12/2019,1200
23/12/2019,1100
24/12/2019,1100
25/12/2019,1200
26/12/2019,1100
27/12/2019,1100
28/12/2019,1100
29/12/2019,1100
30/12/2019,1100
31/12/2019,1000
01/01/2020,1000
02/01/2020,1200
03/01/2020,1100
04/01/2020,1100
05/01/2020,1100
06/01/2020,1100
07/01/2020,1100
08/01/2020,1100
09/01/2020,1100
10/01/2020,1100
11/01/2020,1100
12/01/2020,1100
13/01/2020,1100
14/01/2020,1100
15/01/2020,1100
16/01/2020,1100
17/01/2020,1100
18/01/2020,1100
19/01/2020,1100
20/01/2020,1100
21/01/2020,1100
22/01/2020,1200
23/01/2020,1200
24/01/2020,1200
25/01/2020,1200
26/01/2020,1200
27/01/2020,1200
28/01/2020,1200
29/01/2020,1200
30/01/2020,1100
31/01/2020,1000
01/02/2020,1000
02/02/2020,1000
03/02/2020,1000
04/02/2020,1000
05/02/2020,1100
06/02/2020,1100
07/02/2020,1100
08/02/2020,1100
09/02/2020,1100
10/02/2020,1100
11/02/2020,1100
12/02/2020,1100
13/02/2020,1000
14/02/2020,1000
15/02/2020,1000
16/02/2020,1000
17/02/2020,1000
18/02/2020,1000
19/02/2020,1100
20/02/2020,1100
21/02/2020,1100
22/02/2020,1100
23/02/2020,1100
24/02/2020,1000
